no,question
0,タイムスタンプ
1,あなたの性別は？
2,あなたの年代は？
3,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，最も当てはまるものを1つ選択してください(必須)．
4,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，2番目に当てはまるものを1つ選択してください(任意)．
5,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，3番目に当てはまるものを1つ選択してください(任意)．
6,その他，普段よく遊ばれるジャンルがあれば，当てはまるものを複数選択してください．
7,上記で選択した遊び(普段よくする遊び)を行うときは，1日でお金を平均で幾らほど使われますか？
8,上記で選択した遊び(普段よくする遊び)を行うときは，自然に囲まれた中で遊びたい気分のときが多いですか？それとも街や駅前に出て遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）
9,上記で選択した遊び(普段よくする遊び)を行うときは，エキサイティングな遊びをしたい気分のときが多いですか？それとも，ゆったりのんびり遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）
10,上記で選択した遊び(普段よくする遊び)を行うときは，遠出したい気分のときが多いですか？それとも近場で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）
11,上記で選択した遊び(普段よくする遊び)を行うときは，色々な場所を転々としたい気分のときが多いですか？それとも1か所にとどまって遊びたい気分の時が多いですか？（%の値は～したいという気持ちの度合いです）
12,上記で選択した遊び(普段よくする遊び)を行うときは，室内で遊びたい気分のときが多いですか？それとも室外で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）
13,上記で選択した遊び(普段よくする遊び)を行うときは，何人の友達と遊びに行くことが多いですか？平均してお答えください．
14,上記で選択した遊び(普段よくする遊び)を行うときは，人(友達など)とどのくらい会話をしますか？（%の値は～したいという気持ちの度合いです）
15,現在，身体的に疲れを感じていますか？（%の値は疲労の度合いです）
16,現在，精神的に疲れを感じていますか？（%の値は疲労の度合いです）
17,明後日に予定(会社や大学などの外せない予定)はありますか？（%の値は予定の無さ具合です）
18,あなたは明日遊びに行くとするならば，どの遊びを選択しますか？次のジャンルのうち，明後日の予定や現在の身体的・精神的状態を考慮した後，当てはまるものを1つ選択してください．
19,通常，自分から話を始めることはない
20,どちらかというと控えめで，静かな性格である
21,深く考えるより，すぐに行動したい
22,リーダーとして皆を引っ張っていきたい
23,近くでイベントがあれば参加するほうだ
24,どちらかというと，開放的で，陽気なタイプだと思う
