タイムスタンプ,あなたの性別は？,あなたの年代は？,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，最も当てはまるものを1つ選択してください(必須)．,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，2番目に当てはまるものを1つ選択してください(任意)．,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，3番目に当てはまるものを1つ選択してください(任意)．,その他，普段よく遊ばれるジャンルがあれば，当てはまるものを複数選択してください．,上記で選択した遊び(普段よくする遊び)を行うときは，1日でお金を平均で幾らほど使われますか？,上記で選択した遊び(普段よくする遊び)を行うときは，自然に囲まれた中で遊びたい気分のときが多いですか？それとも街や駅前に出て遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，エキサイティングな遊びをしたい気分のときが多いですか？それとも，ゆったりのんびり遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，遠出したい気分のときが多いですか？それとも近場で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，色々な場所を転々としたい気分のときが多いですか？それとも1か所にとどまって遊びたい気分の時が多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，室内で遊びたい気分のときが多いですか？それとも室外で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，何人の友達と遊びに行くことが多いですか？平均してお答えください．,上記で選択した遊び(普段よくする遊び)を行うときは，人(友達など)とどのくらい会話をしますか？（%の値は～したいという気持ちの度合いです）,現在，身体的に疲れを感じていますか？（%の値は疲労の度合いです）,現在，精神的に疲れを感じていますか？（%の値は疲労の度合いです）,明後日に予定(会社や大学などの外せない予定)はありますか？（%の値は予定の無さ具合です）,あなたは明日遊びに行くとするならば，どの遊びを選択しますか？次のジャンルのうち，明後日の予定や現在の身体的・精神的状態を考慮した後，当てはまるものを1つ選択してください．,通常，自分から話を始めることはない,どちらかというと控えめで，静かな性格である,深く考えるより，すぐに行動したい,リーダーとして皆を引っ張っていきたい,近くでイベントがあれば参加するほうだ,どちらかというと，開放的で，陽気なタイプだと思う
2020/08/10 3:36:39 午前 GMT+9,0,1,1,3,0,"[0, 1, 3, 5, 6]",3,3,2,3,4,3,2,4,3,3,4,1,1,2,4,2,3,3
2020/08/10 8:35:24 午前 GMT+9,1,1,7,3,6,[5],3,1,1,3,3,4,1,3,5,5,3,7,2,4,2,3,1,0
2020/08/10 9:12:24 午前 GMT+9,0,1,6,5,2,"[2, 5, 6]",5,3,3,1,4,5,1,5,4,4,3,6,3,4,3,0,3,3
2020/08/10 9:48:56 午前 GMT+9,1,1,3,6,4,"[1, 5, 7]",1,2,2,3,3,3,1,3,2,3,3,6,4,4,2,0,2,2
2020/08/10 10:19:01 午前 GMT+9,1,1,1,0,3,[8],1,4,2,2,3,3,1,4,4,4,2,6,4,2,5,0,0,3
2020/08/10 1:03:58 午後 GMT+9,0,1,6,5,3,[1],1,3,3,2,3,3,1,3,3,3,2,6,1,3,2,3,3,2
2020/08/10 2:24:29 午後 GMT+9,0,1,1,2,6,"[3, 5]",0,3,2,2,5,1,0,3,2,1,0,1,4,5,3,0,3,0
2020/08/10 3:51:34 午後 GMT+9,0,1,5,8,8,[8],0,3,1,1,1,1,2,3,5,5,0,7,2,1,4,1,1,0
2020/08/10 4:35:27 午後 GMT+9,0,1,7,5,5,[8],3,4,5,3,4,1,1,3,4,4,1,5,5,4,5,1,4,0
2020/08/10 4:46:50 午後 GMT+9,0,2,5,3,1,"[0, 6, 7]",5,3,3,4,4,4,3,5,4,4,3,5,2,4,3,1,3,4
2020/08/10 4:53:59 午後 GMT+9,0,1,1,5,0,[8],1,3,1,0,1,0,3,3,3,4,3,5,3,5,3,0,1,1
2020/08/10 5:20:54 午後 GMT+9,0,1,3,6,5,[8],3,4,5,5,3,4,5,5,3,0,0,7,2,0,5,2,0,0
2020/08/10 5:41:22 午後 GMT+9,0,1,5,1,7,[8],2,3,2,1,2,1,1,2,3,3,4,7,2,4,2,4,2,3
2020/08/10 6:31:27 午後 GMT+9,0,1,1,2,5,[8],1,4,2,1,2,1,3,4,1,1,0,5,3,3,4,2,3,0
2020/08/10 7:23:52 午後 GMT+9,1,1,7,6,1,[5],2,4,4,3,4,1,1,3,3,3,2,3,1,1,3,5,4,3
2020/08/10 8:10:45 午後 GMT+9,0,1,7,1,2,[8],1,2,4,2,3,3,0,0,4,2,2,7,5,4,5,3,3,1
2020/08/10 8:57:54 午後 GMT+9,0,1,0,2,3,[7],1,1,4,2,2,4,2,4,4,5,3,6,1,1,5,1,5,4
2020/08/10 8:57:56 午後 GMT+9,0,1,6,7,1,[8],0,3,1,1,4,4,1,3,4,4,1,6,3,4,1,0,2,1
2020/08/10 9:02:15 午後 GMT+9,0,1,3,5,7,"[0, 2, 4]",1,3,3,3,3,2,2,3,2,1,1,3,2,3,3,2,3,2
2020/08/10 9:15:10 午後 GMT+9,0,1,5,2,3,[8],2,3,2,2,4,2,3,4,1,1,1,5,3,4,4,5,2,1
2020/08/10 9:20:02 午後 GMT+9,0,1,3,3,7,[8],0,4,4,3,2,1,0,0,4,2,0,6,4,3,5,3,3,1
2020/08/10 9:22:06 午後 GMT+9,0,1,5,6,3,"[1, 7]",1,4,3,2,3,3,1,4,1,4,3,5,1,4,1,3,1,1
2020/08/10 9:23:29 午後 GMT+9,0,1,6,8,8,[8],0,3,2,2,4,2,0,0,2,3,1,6,2,4,2,3,4,3
2020/08/10 9:27:43 午後 GMT+9,0,1,1,3,6,[8],1,2,2,2,3,2,0,0,2,2,0,3,3,4,2,2,2,2
2020/08/10 9:30:33 午後 GMT+9,0,1,2,3,5,"[0, 1, 4, 6, 7]",2,2,4,4,3,4,1,4,1,1,2,2,1,2,1,1,4,3
2020/08/10 9:31:21 午後 GMT+9,1,1,7,5,1,[8],3,4,2,2,2,2,0,3,3,3,3,5,4,2,2,1,3,2
2020/08/10 9:31:33 午後 GMT+9,0,1,5,1,0,"[1, 5]",1,1,5,4,2,2,2,4,3,5,4,2,5,4,5,0,2,2
2020/08/10 9:34:16 午後 GMT+9,0,1,3,6,4,"[0, 1, 3, 4, 6]",2,1,1,3,3,4,1,4,3,3,3,0,3,4,2,1,1,2
2020/08/10 9:35:06 午後 GMT+9,0,1,5,1,3,[2],3,3,3,4,3,3,2,3,2,2,2,1,2,0,3,5,1,2
2020/08/10 9:35:50 午後 GMT+9,0,1,5,6,2,"[3, 7]",3,3,2,1,4,2,1,5,1,2,2,0,1,0,3,2,2,4
2020/08/10 9:36:33 午後 GMT+9,0,1,5,7,8,[8],2,2,1,2,2,2,1,3,3,3,0,5,2,3,4,0,2,3
2020/08/10 9:38:08 午後 GMT+9,1,1,5,6,7,"[5, 6, 7]",1,4,2,1,2,1,1,3,4,4,3,5,1,0,4,1,1,4
2020/08/10 10:01:39 午後 GMT+9,0,1,5,8,8,[8],1,2,0,1,1,0,5,3,1,3,4,5,5,5,3,0,1,0
2020/08/10 10:26:37 午後 GMT+9,0,1,3,5,1,"[4, 6, 7]",3,3,4,4,3,4,1,4,1,3,3,5,3,2,4,2,2,4
2020/08/10 10:39:42 午後 GMT+9,0,1,6,1,2,"[3, 5]",2,3,2,2,3,2,2,2,1,1,0,6,4,4,4,3,3,0
2020/08/10 10:42:18 午後 GMT+9,0,1,2,6,4,[5],3,2,4,4,5,5,1,4,0,0,0,2,0,1,4,4,3,3
2020/08/10 11:11:14 午後 GMT+9,1,1,1,3,6,[8],1,1,2,3,1,2,1,3,5,5,3,3,0,2,0,0,3,2
2020/08/11 1:03:40 午前 GMT+9,0,1,0,8,8,[8],1,0,5,2,3,5,1,5,2,2,4,3,0,5,3,0,3,0
2020/08/11 1:21:11 午前 GMT+9,0,1,1,5,2,"[1, 5]",3,3,2,2,4,1,3,4,4,5,4,7,2,4,1,3,3,2
2020/08/11 7:00:15 午前 GMT+9,0,1,3,6,4,[8],0,2,1,3,3,3,2,3,2,2,4,3,3,3,2,1,1,2
